DEBUT;FIN;hq_contrat
2021-08-24 07:46;2021-08-24 07:53;314269139
2020-02-27 10:53;2020-02-27 10:59;313050068
2020-10-26 08:33;2020-10-26 12:31;313050068
2021-02-25 07:58;2021-02-25 08:17;313050068
2021-03-22 13:14;2021-03-22 13:49;313050068
2021-05-27 23:49;2021-05-28 00:31;313050068
2021-10-28 09:41;2021-10-28 10:13;313050068
2020-06-22 08:23;2020-06-22 08:34;308175101
2020-06-28 15:49;2020-06-28 18:03;308175101
2020-06-28 18:03;2020-06-28 18:57;308175101
2020-07-17 13:49;2020-07-17 19:15;308175101
2020-10-10 16:25;2020-10-11 12:55;308175101
2021-01-17 04:59;2021-01-17 08:58;308175101
2021-03-12 03:45;2021-03-12 09:31;308175101
2021-03-29 06:48;2021-03-29 09:58;308175101
2022-02-15 08:59;2022-02-15 09:19;308175101
2020-11-30 08:24;2020-11-30 09:01;313372072
2020-11-30 09:08;2020-11-30 09:54;313372072
2020-11-30 09:54;2020-11-30 10:04;313372072
2021-06-03 14:00;2021-06-03 14:08;313372072
2020-06-23 11:13;2020-06-23 13:12;302930260
2021-05-16 06:22;2021-05-16 08:23;302930260
2020-09-30 16:45;2020-09-30 21:01;303013490
2020-10-01 03:15;2020-10-01 04:30;303013490
2020-10-30 00:32;2020-10-30 01:20;303013490
2020-10-30 03:39;2020-10-30 04:30;303013490
2021-03-09 08:34;2021-03-09 10:28;303013490
2021-05-23 13:12;2021-05-23 15:33;303013490
2021-06-02 22:29;2021-06-02 23:42;303013490
2021-06-02 23:42;2021-06-03 04:29;303013490
2021-06-05 18:57;2021-06-05 19:16;303013490
2021-09-07 08:48;2021-09-07 09:14;303013490
2021-09-07 09:14;2021-09-07 09:59;303013490
2021-11-22 08:35;2021-11-22 15:38;303013490
2021-11-22 15:38;2021-11-22 15:46;303013490
2021-06-12 11:26;2021-06-12 13:29;312169042
2021-07-23 15:59;2021-07-23 16:57;312169042
2022-02-07 00:39;2022-02-07 01:08;312169042
2020-04-13 21:25;2020-04-14 00:28;313285894
2020-10-26 10:47;2020-10-26 12:28;313285894
2020-06-14 11:12;2020-06-14 11:22;314153596
2020-06-26 14:13;2020-06-26 15:06;314153596
2020-07-06 08:18;2020-07-06 14:19;314153596
2020-08-11 10:18;2020-08-11 12:08;314153596
2021-07-16 07:42;2021-07-16 09:48;314153596
2021-07-19 06:21;2021-07-19 06:32;314153596
2021-10-20 09:03;2021-10-20 17:21;314153596
2020-10-15 09:21;2020-10-15 09:45;311659653
2020-12-15 22:41;2020-12-15 22:56;311659653
2021-01-27 15:06;2021-01-27 16:21;311659653
2021-06-14 07:42;2021-06-14 07:55;311659653
2020-07-26 19:33;2020-07-26 22:51;308951102
2020-10-10 17:53;2020-10-11 02:43;308951102
2021-02-25 14:06;2021-02-25 14:59;308951102
2020-05-16 13:37;2020-05-16 13:44;303378340
2020-05-23 14:23;2020-05-23 14:31;303378340
2020-06-11 15:24;2020-06-11 15:40;303378340
2020-06-11 15:40;2020-06-11 16:05;303378340
2020-11-07 16:54;2020-11-07 17:52;303378340
2021-01-27 10:59;2021-01-27 11:18;303378340
2021-01-27 11:26;2021-01-27 11:53;303378340
2021-05-01 14:41;2021-05-01 16:00;303378340
2021-08-18 08:27;2021-08-18 09:15;303378340
2021-08-30 10:12;2021-08-30 10:28;303378340
2021-08-30 10:12;2021-08-30 10:28;303378340
2021-09-11 10:54;2021-09-11 11:04;303378340
2021-09-15 14:57;2021-09-15 15:03;303378340
2021-11-16 11:29;2021-11-16 11:54;303378340
2021-12-23 04:35;2021-12-23 05:03;303378340
2020-02-27 10:30;2020-02-27 13:27;307753602
2020-02-27 13:39;2020-02-27 18:59;307753602
2020-07-23 15:02;2020-07-23 15:08;307753602
2020-11-02 09:56;2020-11-02 14:41;307753602
2021-04-18 07:49;2021-04-18 08:14;307753602
2021-06-21 19:50;2021-06-21 21:54;307753602
2021-07-14 14:59;2021-07-14 15:49;307753602
2020-06-28 16:20;2020-06-28 16:30;313176810
2020-07-08 01:16;2020-07-08 01:24;313176810
2020-10-10 16:57;2020-10-11 04:45;313176810
2020-10-11 04:45;2020-10-11 04:51;313176810
2020-10-29 09:32;2020-10-29 10:54;313176810
2020-11-02 10:49;2020-11-02 15:15;313176810
2021-04-23 10:31;2021-04-23 11:19;313176810
2021-07-03 06:28;2021-07-03 06:36;313176810
2021-08-24 07:46;2021-08-24 07:53;313176810
2021-08-31 08:09;2021-08-31 08:20;313176810
2021-09-01 18:07;2021-09-01 18:20;313176810
2021-11-29 00:21;2021-11-29 01:31;313176810
2022-01-04 13:43;2022-01-04 14:39;313176810
2020-02-27 10:30;2020-02-27 13:27;306136431
2020-07-23 15:02;2020-07-23 15:08;306136431
2020-11-02 09:25;2020-11-02 19:10;306136431
2021-04-18 07:49;2021-04-18 08:14;306136431
2021-06-21 19:50;2021-06-21 23:46;306136431
2021-12-17 04:15;2021-12-17 10:50;306136431
2020-06-18 20:12;2020-06-18 22:40;312977584
2020-06-18 22:40;2020-06-19 04:30;312977584
2020-06-23 10:19;2020-06-23 12:10;312977584
2020-10-13 13:08;2020-10-13 13:24;312977584
2021-02-18 11:44;2021-02-18 12:31;312977584
2021-03-04 00:29;2021-03-04 02:54;312977584
2021-03-04 02:54;2021-03-04 03:34;312977584
2020-02-10 15:13;2020-02-10 15:36;309550333
2020-09-08 14:34;2020-09-08 15:37;309550333
2020-10-10 08:53;2020-10-10 09:21;309550333
2020-10-10 17:01;2020-10-10 17:06;309550333
2020-12-02 10:38;2020-12-02 11:17;309550333
2021-05-05 01:58;2021-05-05 04:46;309550333
2021-05-05 04:48;2021-05-05 05:05;309550333
2021-06-05 02:40;2021-06-05 02:48;309550333
2021-08-30 09:40;2021-08-30 10:20;309550333
2021-10-02 04:07;2021-10-02 06:52;309550333
2021-10-02 06:52;2021-10-02 07:01;309550333
2021-12-17 09:02;2021-12-17 10:42;309550333
2020-02-23 01:57;2020-02-23 02:34;306036620
2021-02-02 20:44;2021-02-02 21:48;306036620
2021-10-04 00:30;2021-10-04 01:10;306036620
2020-05-16 12:33;2020-05-16 12:52;313443346
2020-06-24 05:30;2020-06-24 06:20;313443346
2020-07-10 05:43;2020-07-10 06:21;313443346
2020-07-28 00:40;2020-07-28 04:40;313443346
2020-11-01 20:00;2020-11-02 09:33;313443346
2020-11-05 09:03;2020-11-05 15:16;313443346
2020-11-07 18:36;2020-11-07 19:10;313443346
2021-03-28 23:23;2021-03-29 01:53;313443346
2021-05-27 21:03;2021-05-27 23:23;313443346
2021-06-08 06:49;2021-06-08 07:37;313443346
2021-08-24 06:46;2021-08-24 08:21;313443346
2021-08-25 07:50;2021-08-25 08:13;313443346
2021-10-26 11:48;2021-10-26 11:59;313443346
2020-10-26 10:47;2020-10-26 13:19;313456415
2022-01-19 09:23;2022-01-19 10:06;313456415
2020-05-02 14:07;2020-05-02 14:29;312395452
2021-05-25 21:41;2021-05-25 21:48;312395452
2021-09-23 13:59;2021-09-23 14:11;312395452
2021-09-23 14:11;2021-09-23 14:44;312395452
2021-10-22 00:12;2021-10-22 03:22;312395452
2021-10-22 08:24;2021-10-22 09:04;312395452
2021-10-22 09:04;2021-10-22 09:15;312395452
2021-12-11 09:29;2021-12-11 09:56;312395452
2021-12-12 00:03;2021-12-12 00:16;312395452
2022-01-01 10:15;2022-01-01 10:21;312395452
2020-11-01 20:00;2020-11-02 04:37;306786987
2020-11-02 04:37;2020-11-02 04:45;306786987
2020-11-02 04:49;2020-11-02 10:20;306786987
2021-05-02 09:48;2021-05-02 10:06;306786987
2021-07-15 15:09;2021-07-15 16:33;306786987
2021-08-10 08:16;2021-08-10 09:15;306786987
2021-09-20 15:00;2021-09-20 15:13;306786987
2021-09-23 11:37;2021-09-23 11:49;306786987
2020-09-10 00:30;2020-09-10 00:36;303753627
2020-11-01 19:38;2020-11-02 20:42;303753627
2021-05-19 05:10;2021-05-19 06:08;303753627
2021-06-22 18:17;2021-06-22 19:04;303753627
2020-06-29 17:49;2020-06-29 19:35;311806694
2020-07-27 16:29;2020-07-27 17:57;311806694
2020-07-27 17:57;2020-07-27 19:14;311806694
2020-11-01 22:00;2020-11-02 02:29;311806694
2021-05-19 05:10;2021-05-19 06:05;311806694
2021-06-22 18:17;2021-06-22 19:04;311806694
2020-10-15 09:21;2020-10-15 09:44;314182602
2021-04-27 08:48;2021-04-27 09:19;314182602
2021-06-14 07:42;2021-06-14 07:54;314182602
2021-11-22 07:32;2021-11-22 10:40;307076155
2021-07-01 07:03;2021-07-01 07:29;309549839
2020-02-26 08:53;2020-02-26 10:09;311646987
2020-02-24 07:30;2020-02-24 07:45;307922151
2020-04-26 08:01;2020-04-26 08:16;307922151
2020-06-23 20:22;2020-06-23 21:38;307922151
2022-01-19 18:36;2022-01-19 19:52;307922151
2020-02-21 02:57;2020-02-21 03:09;312674251
2020-05-29 03:14;2020-05-29 03:33;312674251
2020-06-28 12:44;2020-06-28 12:53;312674251
2020-06-28 16:20;2020-06-28 16:29;312674251
2020-07-08 01:16;2020-07-08 01:24;312674251
2020-12-15 06:39;2020-12-15 06:47;312674251
2021-05-12 06:21;2021-05-12 06:42;312674251
2021-05-23 08:00;2021-05-23 08:39;312674251
2021-06-09 19:09;2021-06-09 19:19;312674251
2021-06-13 23:57;2021-06-14 00:12;312674251
2021-08-24 07:46;2021-08-24 07:53;312674251
2020-01-27 21:11;2020-01-27 23:38;310304832
2020-04-14 03:45;2020-04-14 10:11;310304832
2020-09-04 13:27;2020-09-04 13:37;310304832
2020-12-13 21:49;2020-12-14 05:00;310304832
2021-02-25 06:00;2021-02-25 08:13;310304832
2021-05-05 08:37;2021-05-05 09:34;310304832
2021-05-16 09:43;2021-05-16 18:35;310304832
2021-09-15 12:25;2021-09-15 15:28;310304832
2021-12-11 22:03;2021-12-12 11:42;310304832
2021-12-12 11:42;2021-12-12 13:55;310304832
2020-06-10 08:23;2020-06-10 09:19;313545537
2020-06-10 09:19;2020-06-10 09:51;313545537
2020-06-28 14:19;2020-06-28 14:26;313545537
2020-09-19 09:17;2020-09-19 09:26;313545537
2021-11-13 23:50;2021-11-14 03:27;313545537
2021-11-14 03:29;2021-11-14 03:46;313545537
2021-12-01 09:57;2021-12-01 11:14;313545537
2020-07-14 10:08;2020-07-14 10:23;314404277
2021-06-09 15:55;2021-06-09 16:28;314404277
2021-07-15 09:01;2021-07-15 09:18;314404277
2021-09-21 21:27;2021-09-22 06:59;314404277
2021-12-16 19:47;2021-12-16 19:53;314404277
2020-06-28 10:12;2020-06-28 11:01;311236992
2020-11-01 20:00;2020-11-01 23:52;311236992
2020-11-12 08:30;2020-11-12 09:36;311236992
2020-12-13 22:51;2020-12-13 23:22;311236992
2020-07-02 08:37;2020-07-02 11:39;309085258
2020-09-10 00:30;2020-09-10 01:49;309085258
2020-11-01 20:00;2020-11-02 03:17;309085258
2020-11-02 03:18;2020-11-02 16:00;309085258
2021-05-19 05:10;2021-05-19 06:08;309085258
2021-06-22 18:17;2021-06-22 19:04;309085258
2020-05-16 12:33;2020-05-16 12:52;303483388
2020-05-16 12:33;2020-05-16 12:52;314670766
2020-06-24 05:30;2020-06-24 06:20;303483388
2020-06-24 05:30;2020-06-24 06:20;314670766
2020-07-10 05:43;2020-07-10 06:21;303483388
2020-07-10 05:43;2020-07-10 06:21;314670766
2020-11-01 20:00;2020-11-02 00:52;303483388
2020-11-01 20:00;2020-11-02 00:52;314670766
2021-06-08 06:49;2021-06-08 07:37;303483388
2021-06-08 06:49;2021-06-08 07:37;314670766
2021-10-26 11:48;2021-10-26 11:59;303483388
2021-10-26 11:48;2021-10-26 11:59;314670766
2020-05-27 18:04;2020-05-27 20:32;303464524
2020-08-03 06:37;2020-08-03 08:19;303464524
2020-11-17 00:52;2020-11-17 09:45;303464524
2021-03-11 14:05;2021-03-11 15:07;303464524
2021-10-09 08:35;2021-10-09 15:29;303464524
2020-02-23 01:57;2020-02-23 02:34;308879517
2021-02-02 20:44;2021-02-02 21:48;308879517
2021-02-02 21:50;2021-02-02 23:33;308879517
2022-01-21 06:57;2022-01-21 09:25;308879517
2020-06-10 08:23;2020-06-10 09:19;308116493
2020-06-10 09:19;2020-06-10 09:51;308116493
2020-06-28 14:19;2020-06-28 14:26;308116493
2020-09-19 09:17;2020-09-19 09:26;308116493
2021-11-13 23:50;2021-11-14 03:27;308116493
2020-04-29 12:55;2020-04-29 13:32;306849005
2021-05-29 10:05;2021-05-29 10:49;306849005
2021-08-03 00:37;2021-08-03 02:59;306849005
2021-09-20 19:18;2021-09-20 22:13;306849005
2021-09-20 22:18;2021-09-21 01:15;306849005
2020-04-13 21:59;2020-04-14 00:45;314039322
2020-04-14 02:21;2020-04-14 06:38;314039322
2020-06-12 18:26;2020-06-12 23:46;314039322
2020-06-17 15:28;2020-06-17 22:13;314039322
2020-06-17 22:13;2020-06-17 22:37;314039322
2020-07-16 18:05;2020-07-16 19:42;314039322
2020-11-01 20:21;2020-11-02 10:28;314039322
2020-11-02 10:29;2020-11-02 11:10;314039322
2020-12-23 18:53;2020-12-23 21:05;314039322
2021-01-19 09:31;2021-01-19 11:49;314039322
2021-03-28 21:37;2021-03-28 22:03;314039322
2021-03-28 23:52;2021-03-29 03:44;314039322
2021-05-21 08:16;2021-05-21 10:09;314039322
2021-12-11 22:11;2021-12-12 02:14;314039322
2020-05-12 22:10;2020-05-12 23:48;310024612
2020-06-28 10:12;2020-06-28 11:01;310024612
2020-11-01 20:00;2020-11-01 23:52;310024612
2020-11-02 00:09;2020-11-03 03:13;310024612
2020-11-03 03:29;2020-11-03 04:04;310024612
2020-11-03 04:06;2020-11-03 05:38;310024612
2020-11-03 05:41;2020-11-03 08:21;310024612
2020-11-11 15:26;2020-11-11 18:43;310024612
2020-12-13 22:51;2020-12-13 23:22;310024612
2021-11-17 20:56;2021-11-17 23:55;310024612
2021-11-18 00:01;2021-11-18 01:07;310024612
2020-05-16 12:33;2020-05-16 12:52;303762942
2020-06-24 05:30;2020-06-24 06:20;303762942
2020-07-10 05:43;2020-07-10 06:21;303762942
2020-11-01 20:00;2020-11-02 00:52;303762942
2021-04-29 15:37;2021-04-29 17:09;303762942
2021-06-08 06:49;2021-06-08 07:37;303762942
2021-10-26 11:48;2021-10-26 11:59;303762942
2020-11-16 06:46;2020-11-16 10:27;314427028
2020-11-16 10:27;2020-11-16 10:37;314427028
2021-06-18 19:49;2021-06-18 20:03;314427028
2021-07-11 05:13;2021-07-11 05:20;314427028
2020-05-16 12:33;2020-05-16 12:52;314546550
2020-06-24 05:30;2020-06-24 06:20;314546550
2020-07-10 05:43;2020-07-10 06:21;314546550
2020-07-28 00:40;2020-07-28 04:40;314546550
2020-11-01 20:00;2020-11-02 09:33;314546550
2020-11-05 09:00;2020-11-05 15:14;314546550
2020-11-07 18:36;2020-11-07 19:10;314546550
2021-03-28 23:23;2021-03-29 01:53;314546550
2021-05-27 21:03;2021-05-27 23:23;314546550
2021-06-08 06:49;2021-06-08 07:37;314546550
2021-08-25 07:50;2021-08-25 08:13;314546550
2021-10-26 11:48;2021-10-26 11:59;314546550
2021-11-18 12:52;2021-11-18 14:49;314546550
2020-05-16 12:33;2020-05-16 12:52;307389659
2020-06-24 05:30;2020-06-24 06:20;307389659
2020-07-10 05:43;2020-07-10 06:21;307389659
2020-07-28 00:40;2020-07-28 04:40;307389659
2020-11-01 20:00;2020-11-02 09:33;307389659
2020-11-07 18:36;2020-11-07 19:10;307389659
2021-03-28 23:23;2021-03-29 01:53;307389659
2021-05-27 21:03;2021-05-27 23:23;307389659
2021-06-08 06:49;2021-06-08 07:37;307389659
2021-08-25 07:50;2021-08-25 08:13;307389659
2021-10-26 11:48;2021-10-26 11:59;307389659
2020-10-15 09:21;2020-10-15 09:45;314612719
2021-06-14 07:42;2021-06-14 07:56;314612719
2020-04-07 02:39;2020-04-07 03:50;307937730
2020-08-14 04:43;2020-08-14 05:10;307937730
2020-11-03 14:33;2020-11-03 14:43;307937730
2021-05-24 20:21;2021-05-24 20:27;307937730
2021-10-09 08:21;2021-10-09 08:26;307937730
2020-02-04 11:22;2020-02-04 11:32;308586059
2020-05-24 01:35;2020-05-24 03:13;308586059
2020-06-29 06:36;2020-06-29 06:48;308586059
2020-09-10 15:54;2020-09-10 16:13;308586059
2020-10-26 10:47;2020-10-26 13:10;308586059
2021-08-30 06:19;2021-08-30 07:54;308586059
2020-09-10 00:30;2020-09-10 00:36;310848398
2020-11-01 20:00;2020-11-02 03:17;310848398
2020-11-02 03:18;2020-11-02 09:46;310848398
2020-11-02 09:46;2020-11-02 12:46;310848398
2021-05-19 05:10;2021-05-19 06:08;310848398
2021-06-22 18:17;2021-06-22 19:04;310848398
2020-05-20 21:23;2020-05-21 01:00;309129964
2020-11-01 20:00;2020-11-02 00:28;309129964
2020-11-02 00:28;2020-11-02 00:46;309129964
2020-11-11 08:51;2020-11-11 09:06;309129964
2020-11-11 10:13;2020-11-11 11:18;309129964
2021-05-02 09:48;2021-05-02 10:07;309129964
2021-06-23 12:03;2021-06-23 12:40;309129964
2020-09-02 10:48;2020-09-02 11:01;307703305
2020-09-10 00:30;2020-09-10 00:36;307703305
2020-11-01 20:00;2020-11-02 03:17;307703305
2020-11-02 03:18;2020-11-02 09:46;307703305
2020-11-02 09:46;2020-11-02 12:46;307703305
2021-05-19 05:10;2021-05-19 06:08;307703305
2021-06-22 18:17;2021-06-22 19:04;307703305
2020-05-12 22:10;2020-05-12 23:48;311183539
2020-06-28 10:12;2020-06-28 11:01;311183539
2020-11-01 20:00;2020-11-01 23:52;311183539
2020-11-11 15:26;2020-11-11 18:43;311183539
2020-12-13 22:51;2020-12-13 23:22;311183539
2021-11-17 20:56;2021-11-17 23:55;311183539
2020-08-28 11:30;2020-08-28 11:44;308005472
2021-12-06 23:19;2021-12-07 01:00;308005472
2022-02-06 17:20;2022-02-06 18:57;308005472
2022-02-06 18:58;2022-02-06 19:16;308005472
2022-02-06 19:17;2022-02-06 23:23;308005472
2022-02-06 23:23;2022-02-07 00:38;308005472
2020-07-14 10:08;2020-07-14 10:23;312899990
2021-06-09 15:55;2021-06-09 16:28;312899990
2021-07-15 09:01;2021-07-15 09:35;312899990
2021-09-21 21:27;2021-09-22 06:59;312899990
2021-12-16 19:47;2021-12-16 19:53;312899990
2020-04-11 10:35;2020-04-11 12:06;313779014
2020-04-11 12:11;2020-04-11 14:12;313779014
2020-04-11 14:33;2020-04-11 16:04;313779014
2021-12-16 22:56;2021-12-17 00:37;313779014
2020-05-16 12:33;2020-05-16 12:52;306118846
2020-06-24 05:30;2020-06-24 06:20;306118846
2020-07-10 05:43;2020-07-10 06:21;306118846
2020-07-28 00:40;2020-07-28 04:40;306118846
2020-11-01 20:00;2020-11-02 09:33;306118846
2020-11-05 09:00;2020-11-05 15:14;306118846
2020-11-07 18:36;2020-11-07 19:10;306118846
2021-03-28 23:23;2021-03-29 01:53;306118846
2021-05-27 21:03;2021-05-27 23:23;306118846
2021-06-08 06:49;2021-06-08 07:37;306118846
2021-08-25 07:50;2021-08-25 08:13;306118846
2021-10-26 11:48;2021-10-26 11:59;306118846
2021-11-18 12:52;2021-11-18 14:49;306118846
2021-05-04 08:40;2021-05-04 14:57;314122149
2020-05-25 08:33;2020-05-25 08:42;303008064
2020-10-26 10:47;2020-10-26 12:26;303008064
2020-10-29 08:02;2020-10-29 09:43;303008064
2021-04-19 11:15;2021-04-19 11:49;303008064
2020-01-12 07:32;2020-01-12 13:02;313979678
2020-01-12 07:32;2020-01-12 13:02;311000372
2020-05-09 17:19;2020-05-09 17:50;313979678
2020-05-09 17:19;2020-05-09 17:50;311000372
2020-11-03 14:32;2020-11-03 14:43;313979678
2020-11-03 14:32;2020-11-03 14:43;311000372
2021-05-13 11:04;2021-05-13 12:10;313979678
2021-05-13 11:04;2021-05-13 12:10;311000372
2021-05-24 21:30;2021-05-25 02:37;313979678
2021-05-24 21:30;2021-05-25 02:37;311000372
2021-11-06 03:20;2021-11-06 05:07;313979678
2021-11-06 03:20;2021-11-06 05:07;311000372
2021-12-11 09:45;2021-12-11 14:59;313979678
2021-12-11 09:45;2021-12-11 14:59;311000372
2022-02-09 16:19;2022-02-09 16:34;313979678
2022-02-09 16:19;2022-02-09 16:34;311000372
2020-05-09 17:20;2020-05-09 17:55;307398619
2020-06-23 19:23;2020-06-23 22:27;307398619
2020-08-14 04:43;2020-08-14 05:10;307398619
2020-11-03 14:33;2020-11-03 14:43;307398619
2021-03-10 08:41;2021-03-10 12:00;307398619
2021-05-24 20:21;2021-05-24 20:27;307398619
2021-10-09 08:21;2021-10-09 08:26;307398619
2021-12-11 09:42;2021-12-11 12:15;307398619
2020-01-23 07:12;2020-01-23 09:23;314494502
2020-05-26 07:29;2020-05-26 07:38;314494502
2020-07-19 05:13;2020-07-19 08:47;314494502
2020-09-02 17:22;2020-09-02 22:47;314494502
2020-09-13 21:03;2020-09-13 21:16;314494502
2020-11-03 04:14;2020-11-03 06:44;314494502
2021-03-02 13:22;2021-03-02 18:31;314494502
2021-06-03 07:11;2021-06-03 07:19;314494502
2021-12-11 22:17;2021-12-12 10:50;314494502
2020-05-16 10:54;2020-05-16 14:32;311354488
2020-05-16 16:01;2020-05-16 16:22;311354488
2020-01-12 07:16;2020-01-12 07:26;311315016
2020-01-26 09:29;2020-01-26 13:44;311315016
2020-02-27 11:39;2020-02-27 15:42;311315016
2020-04-13 19:49;2020-04-13 20:28;311315016
2020-04-13 20:28;2020-04-13 23:59;311315016
2020-07-29 15:13;2020-07-29 16:36;311315016
2020-08-26 09:19;2020-08-26 09:31;311315016
2020-11-02 04:10;2020-11-02 12:58;311315016
2020-11-02 16:33;2020-11-02 19:30;311315016
2020-11-09 17:55;2020-11-09 18:30;311315016
2021-02-18 15:20;2021-02-18 16:32;311315016
2021-03-11 21:45;2021-03-11 22:35;311315016
2021-03-11 22:35;2021-03-12 00:00;311315016
2021-04-12 10:09;2021-04-12 11:08;311315016
2021-06-07 08:50;2021-06-07 09:05;311315016
2021-07-14 11:57;2021-07-14 12:11;311315016
2021-08-18 08:59;2021-08-18 10:54;311315016
2021-08-18 13:05;2021-08-18 14:22;311315016
2021-09-07 13:43;2021-09-07 13:54;311315016
2021-12-11 19:31;2021-12-12 09:33;311315016
2021-03-11 22:38;2021-03-11 22:46;303160878
2021-03-30 17:51;2021-03-30 19:22;303160878
2021-10-30 08:16;2021-10-30 08:24;303160878
2020-01-12 12:47;2020-01-12 13:07;314207387
2020-01-15 09:29;2020-01-15 11:13;314207387
2020-01-15 11:13;2020-01-15 11:19;314207387
2020-04-21 19:04;2020-04-21 21:36;314207387
2020-05-14 09:22;2020-05-14 10:58;314207387
2020-07-15 09:12;2020-07-15 11:17;314207387
2020-07-15 11:17;2020-07-15 11:24;314207387
2020-10-13 13:08;2020-10-13 13:24;314207387
2021-02-18 11:44;2021-02-18 12:31;314207387
2021-03-04 00:29;2021-03-04 02:54;314207387
2021-03-04 02:54;2021-03-04 03:34;314207387
2020-01-12 07:16;2020-01-12 07:24;313225135
2020-04-30 23:37;2020-05-01 00:46;313225135
2020-05-01 00:47;2020-05-01 01:41;313225135
2020-05-02 03:29;2020-05-02 05:46;313225135
2020-05-02 05:46;2020-05-02 07:33;313225135
2020-06-11 14:54;2020-06-11 18:05;313225135
2020-06-15 11:17;2020-06-15 11:50;313225135
2020-06-29 06:55;2020-06-29 07:14;313225135
2020-07-29 15:13;2020-07-29 16:34;313225135
2020-08-02 17:59;2020-08-02 19:31;313225135
2020-09-21 22:16;2020-09-21 22:23;313225135
2020-11-23 16:03;2020-11-23 16:25;313225135
2021-02-25 00:19;2021-02-25 04:28;313225135
2021-03-29 04:44;2021-03-29 10:23;313225135
2021-08-04 13:37;2021-08-04 14:13;313225135
2021-08-10 12:43;2021-08-10 13:41;313225135
2021-09-06 09:57;2021-09-06 13:14;313225135
2021-11-01 03:39;2021-11-01 07:16;313225135
2021-12-21 09:06;2021-12-21 10:42;313225135
2022-01-20 10:10;2022-01-20 10:17;313225135
2020-04-07 02:39;2020-04-07 03:50;308014917
2020-08-14 04:43;2020-08-14 05:10;308014917
2020-09-23 08:30;2020-09-23 14:07;308014917
2020-11-03 14:33;2020-11-03 14:43;308014917
2021-05-24 20:21;2021-05-24 20:27;308014917
2021-10-09 08:21;2021-10-09 08:26;308014917
2020-06-16 16:26;2020-06-16 16:32;303070878
2020-06-28 06:28;2020-06-28 09:14;303070878
2020-06-28 09:14;2020-06-28 10:45;303070878
2021-03-21 08:54;2021-03-21 09:06;303070878
2021-04-23 16:43;2021-04-23 16:53;303070878
2020-01-27 09:49;2020-01-27 10:22;309813478
2020-07-28 10:10;2020-07-28 10:16;309813478
2020-11-29 20:54;2020-11-29 21:01;309813478
2020-11-29 21:02;2020-11-29 22:20;309813478
2020-07-05 16:53;2020-07-05 17:25;313431338
2021-03-29 16:22;2021-03-29 16:32;313431338
2021-08-10 08:39;2021-08-10 08:59;313431338
2021-06-20 09:35;2021-06-20 09:44;314622285
2020-04-13 21:50;2020-04-14 17:42;302875688
2020-04-13 21:50;2020-04-14 17:42;308289576
2020-04-14 18:26;2020-04-14 20:36;302875688
2020-04-14 18:26;2020-04-14 20:36;308289576
2020-10-20 18:43;2020-10-20 19:06;302875688
2020-10-20 18:43;2020-10-20 19:06;308289576
2020-11-18 08:31;2020-11-18 14:59;302875688
2020-11-18 08:31;2020-11-18 14:59;308289576
2020-12-03 12:15;2020-12-03 12:34;302875688
2020-12-03 12:15;2020-12-03 12:34;308289576
